Dhi,Dni,Ebh,Ghi,rain,tem,hum,,,,,,
150,118,41,192,0,23.1,90,,,,,,
218,332,177,395,0,24.7,76,,,,,,
240,514,363,602,0,26,74,,,,,,
152,812,678,831,0,27.1,72,,,,,,
404,396,367,770,0,28.1,69,,,,,,
313,600,582,895,0,27.9,67,,,,,,
253,696,672,925,0,28.8,66,,,,,,
257,650,589,846,0,29,64,,,,,,
254,571,457,711,0,28.5,64,,,,,,
114,788,513,627,0,27.3,72,,,,,,
170,426,203,373,0,26.2,74,,,,,,
121,150,43,164,0,25.3,81,,,,,,
29,35,6,35,0,23.7,88,,,,,,
0,0,0,0,0,22.7,91,,,,,,
0,0,0,0,0,22,95,,,,,,
0,0,0,0,0,21.3,99,,,,,,
0,0,0,0,0,20.9,99,,,,,,
0,0,0,0,0,20.5,99,,,,,,
0,0,0,0,0,20.8,99,,,,,,
0,0,0,0,0,20.9,99,,,,,,
0,0,0,0,0,20.3,99,,,,,,
0,0,0,0,0,19.8,99,,,,,,
1,3,1,2,0,19.9,99,,,,,,
52,56,10,62,0,21.4,99,,,,,,
150,74,24,175,0,23,91,,,,,,
249,207,110,359,0,24.5,81,,,,,,
290,390,273,564,0,26.1,73,,,,,,
306,500,418,724,0,26.6,70,,,,,,
300,589,545,844,0,27.2,67,,,,,,
302,618,599,901,0,27,77,,,,,,
290,631,608,898,0,28.2,70,,,,,,
253,653,593,846,0,27.3,76,,,,,,
254,567,455,708,0,27.4,73,,,,,,
261,386,252,513,0,26.6,75,,,,,,
216,214,102,318,0,25.4,80,,,,,,
117,66,19,136,0,23.8,85,,,,,,
29,30,5,34,0,22.7,91,,,,,,
0,0,0,0,0,22.2,89,,,,,,
0,0,0,0,0,21.8,98,,,,,,
0,0,0,0,0,21,99,,,,,,
0,0,0,0,0,20.3,99,,,,,,
0,0,0,0,0,19.9,99,,,,,,
0,0,0,0,0,19.4,99,,,,,,
0,0,0,0,0,19.5,99,,,,,,
0,0,0,0,0,19.2,99,,,,,,
0,0,0,0,0,19,99,,,,,,
1,3,1,2,0,19.1,99,,,,,,
54,90,16,70,0,21.3,97,,,,,,
141,279,95,236,0,23.1,84,,,,,,
181,486,256,437,0,24.7,80,,,,,,
208,596,418,625,0,25.6,74,,,,,,
223,672,560,783,0,27,69,,,,,,
323,548,505,828,0,27.5,70,,,,,,
424,382,369,793,0,27.7,66,,,,,,
382,461,444,826,0,28.1,66,,,,,,
138,873,790,927,0,28.8,66,,,,,,
125,846,678,803,0,28.1,67,,,,,,
140,717,469,608,0,26.8,71,,,,,,
111,652,309,419,0,25.5,73,,,,,,
119,176,48,168,0,24.4,75,,,,,,
30,38,7,36,0,22.4,82,,,,,,
0,0,0,0,0,21.5,87,,,,,,
0,0,0,0,0,21.3,85,,,,,,
0,0,0,0,0,20.4,91,,,,,,
0,0,0,0,0,20.4,93,,,,,,
0,0,0,0,0,21,86,,,,,,
0,0,0,0,0,21.3,84,,,,,,
0,0,0,0,0,20.7,88,,,,,,
0,0,0,0,0,20.5,90,,,,,,
0,0,0,0,0,19.9,93,,,,,,
1,3,1,2,0,20,93,,,,,,
51,69,12,63,0,21.6,85,,,,,,
140,216,74,214,0,23.3,80,,,,,,
189,436,232,422,0,25.1,73,,,,,,
270,394,267,537,0,24.7,71,,,,,,
215,686,573,788,0,25.4,71,,,,,,
152,860,793,945,0,26.7,68,,,,,,
159,868,841,1000,0,26.5,69,,,,,,
237,713,688,925,0,26.5,67,,,,,,
325,516,467,792,0,26.3,71,,,,,,
381,94,77,458,0,25.6,75,,,,,,
198,8,5,203,0,24.5,80,,,,,,
20,0,0,20,0,24.2,81,,,,,,
47,3,1,48,0,23.4,84,,,,,,
16,3,1,16,0.4,22.7,89,,,,,,
0,0,0,0,2.2,22.1,97,,,,,,
0,0,0,0,4.9,21.6,99,,,,,,
0,0,0,0,2.6,21.8,99,,,,,,
0,0,0,0,2.3,21.9,99,,,,,,
0,0,0,0,1.7,21.8,99,,,,,,
0,0,0,0,1.5,21.6,99,,,,,,
0,0,0,0,1.5,21.7,99,,,,,,
0,0,0,0,1.7,21.8,99,,,,,,
0,0,0,0,0.5,21.9,98,,,,,,
0,0,0,0,0,22,96,,,,,,
24,5,1,25,0,22.1,94,,,,,,
55,2,1,56,0,22.2,92,,,,,,
183,17,9,192,0,22.3,90,,,,,,
109,1,1,110,0,22.3,88,,,,,,
