gen
0.00000
0.00000
0.00000
0.00000
0.00000
0.00594
0.17950
0.46865
0.71226
1.25983
1.10484
1.13489
0.90822
1.04141
0.80540
0.75167
0.72671
0.64293
0.30330
0.07494
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00032
0.20004
0.67359
1.89104
3.58810
3.50725
3.54665
3.71627
3.78815
4.63246
3.49327
3.24048
1.88710
0.96320
0.16803
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00738
0.24625
0.82875
0.92171
2.88392
3.43777
3.94572
3.41509
3.26802
2.21293
2.70759
2.30309
1.92173
0.74559
0.09550
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.01092
0.39570
1.41502
2.85423
4.22787
4.83215
4.79257
5.36584
5.50539
5.15593
4.34348
3.09179
1.72863
0.62189
0.05839
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.02144
0.41686
1.06113
1.88196
2.61853
2.69939
3.30551
4.96837
4.19253
4.85048
4.36969
3.22908
1.82825
0.62623
0.08490
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.02144
0.35675
1.33436
2.78964
4.02869
4.96058
5.49413
5.80406
5.65749
5.20520
4.46809
3.31760
1.89237
0.59242
0.05911
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00000
0.00562
0.17638
1.19522
2.69106
3.94429
5.03488
4.84798
4.28293
3.37366
1.76019
1.12807
0.37566
1.20134
0.49400
0.04385
0.00000
0.00000
0.00000
0.00000
