gen,
0,
0,
0,
0,
0,
0,
0.001536296,
0.094882807,
0.49376322,
0.822061326,
1.642618693,
2.354832845,
2.555277769,
2.884492555,
3.051280173,
1.467884889,
1.928216981,
1.417058071,
0.797005367,
0.395922983,
0.098047549,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.004334809,
0.149274347,
0.461921525,
0.707225407,
1.313262717,
1.416618002,
1.483633368,
1.439643393,
1.557514227,
0.910589236,
1.031279099,
0.882035531,
0.665048161,
0.325426243,
0.08093863,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.001568279,
0.188232667,
0.621453047,
1.559020683,
2.950087673,
2.924598516,
2.979341513,
3.083446102,
3.179623945,
3.570461585,
2.803928608,
2.575336501,
1.545352588,
0.784323619,
0.144689791,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.005730961,
0.231321794,
0.768839869,
1.118910273,
2.921201303,
3.285016555,
3.655943005,
3.300554486,
3.221613769,
2.641461123,
2.73882468,
2.394876874,
1.822073868,
0.761402324,
0.109903557,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.009383177,
0.348883057,
1.233245086,
2.361659051,
3.887480873,
4.431389767,
4.51740197,
4.819859693,
4.891767889,
4.473720506,
3.924005515,
2.929769083,
1.782330593,
0.673551934,
0.074412657,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.018127146,
0.399944242,
1.121902974,
2.02574779,
2.990080485,
3.219624909,
3.677268551,
4.943577882,
4.413479732,
4.72747206,
4.244277614,
3.132340285,
1.813166417,
0.633870601,
0.079855749,
0,
0,
0,
0,
0,
0,
0,
0,
0,
0.020686416,
0.37271851,
1.280332441,
2.595506848,
3.734205681,
4.456132188,
4.964309808,
5.589487917,
5.325709136,
5.123966776,
4.437566768,
3.281952454,
1.866536405,
0.601945994,
0.064707075,
0,
0,
0,
,
